name	type	units	sampling_frequency
A1	EEG	uV	1024
A2	EEG	uV	1024
A3	EEG	uV	1024
A4	EEG	uV	1024
A5	EEG	uV	1024
A6	EEG	uV	1024
A7	EEG	uV	1024
A8	EEG	uV	1024
A9	EEG	uV	1024
A10	EEG	uV	1024
A11	EEG	uV	1024
A12	EEG	uV	1024
A13	EEG	uV	1024
A14	EEG	uV	1024
A15	EEG	uV	1024
A16	EEG	uV	1024
A17	EEG	uV	1024
A18	EEG	uV	1024
A19	EEG	uV	1024
A20	EEG	uV	1024
A21	EEG	uV	1024
A22	EEG	uV	1024
A23	EEG	uV	1024
A24	EEG	uV	1024
A25	EEG	uV	1024
A26	EEG	uV	1024
A27	EEG	uV	1024
A28	EEG	uV	1024
A29	EEG	uV	1024
A30	EEG	uV	1024
A31	EEG	uV	1024
A32	EEG	uV	1024
B1	EEG	uV	1024
B2	EEG	uV	1024
B3	EEG	uV	1024
B4	EEG	uV	1024
B5	EEG	uV	1024
B6	EEG	uV	1024
B7	EEG	uV	1024
B8	EEG	uV	1024
B9	EEG	uV	1024
B10	EEG	uV	1024
B11	EEG	uV	1024
B12	EEG	uV	1024
B13	EEG	uV	1024
B14	EEG	uV	1024
B15	EEG	uV	1024
B16	EEG	uV	1024
B17	EEG	uV	1024
B18	EEG	uV	1024
B19	EEG	uV	1024
B20	EEG	uV	1024
B21	EEG	uV	1024
B22	EEG	uV	1024
B23	EEG	uV	1024
B24	EEG	uV	1024
B25	EEG	uV	1024
B26	EEG	uV	1024
B27	EEG	uV	1024
B28	EEG	uV	1024
B29	EEG	uV	1024
B30	EEG	uV	1024
B31	EEG	uV	1024
B32	EEG	uV	1024
C1	EEG	uV	1024
C2	EEG	uV	1024
C3	EEG	uV	1024
C4	EEG	uV	1024
C5	EEG	uV	1024
C6	EEG	uV	1024
C7	EEG	uV	1024
C8	EEG	uV	1024
C9	EEG	uV	1024
C10	EEG	uV	1024
C11	EEG	uV	1024
C12	EEG	uV	1024
C13	EEG	uV	1024
C14	EEG	uV	1024
C15	EEG	uV	1024
C16	EEG	uV	1024
C17	EEG	uV	1024
C18	EEG	uV	1024
C19	EEG	uV	1024
C20	EEG	uV	1024
C21	EEG	uV	1024
C22	EEG	uV	1024
C23	EEG	uV	1024
C24	EEG	uV	1024
C25	EEG	uV	1024
C26	EEG	uV	1024
C27	EEG	uV	1024
C28	EEG	uV	1024
C29	EEG	uV	1024
C30	EEG	uV	1024
C31	EEG	uV	1024
C32	EEG	uV	1024
D1	EEG	uV	1024
D2	EEG	uV	1024
D3	EEG	uV	1024
D4	EEG	uV	1024
D5	EEG	uV	1024
D6	EEG	uV	1024
D7	EEG	uV	1024
D8	EEG	uV	1024
D9	EEG	uV	1024
D10	EEG	uV	1024
D11	EEG	uV	1024
D12	EEG	uV	1024
D13	EEG	uV	1024
D14	EEG	uV	1024
D15	EEG	uV	1024
D16	EEG	uV	1024
D17	EEG	uV	1024
D18	EEG	uV	1024
D19	EEG	uV	1024
D20	EEG	uV	1024
D21	EEG	uV	1024
D22	EEG	uV	1024
D23	EEG	uV	1024
D24	EEG	uV	1024
D25	EEG	uV	1024
D26	EEG	uV	1024
D27	EEG	uV	1024
D28	EEG	uV	1024
D29	EEG	uV	1024
D30	EEG	uV	1024
D31	EEG	uV	1024
D32	EEG	uV	1024
EXG1	OTHER	unknown	1024
EXG2	OTHER	unknown	1024
EXG3	OTHER	unknown	1024
EXG4	OTHER	unknown	1024
EXG5	OTHER	unknown	1024
EXG6	OTHER	unknown	1024
EXG7	OTHER	unknown	1024
EXG8	OTHER	unknown	1024
GSR1	OTHER	unknown	1024
GSR2	OTHER	unknown	1024
Erg1	OTHER	unknown	1024
Erg2	OTHER	unknown	1024
Resp	OTHER	unknown	1024
Plet	OTHER	unknown	1024
Temp	OTHER	unknown	1024
Status	OTHER	unknown	1024
